education_requirement,company_scale,count
中专/中技,0-20人,74
中专/中技,100-499人,70
中专/中技,1000-9999人,27
中专/中技,10000人以上,2
中专/中技,20-99人,82
中专/中技,500-999人,20
初中及以下,0-20人,10
初中及以下,20-99人,7
博士,0-20人,1
博士,100-499人,3
博士,1000-9999人,2
博士,10000人以上,5
博士,20-99人,2
大专,0-20人,740
大专,100-499人,1222
大专,1000-9999人,697
大专,10000人以上,159
大专,20-99人,1631
大专,500-999人,396
学历不限,0-20人,223
学历不限,100-499人,101
学历不限,1000-9999人,64
学历不限,10000人以上,15
学历不限,20-99人,288
学历不限,500-999人,79
本科,0-20人,727
本科,100-499人,1927
本科,1000-9999人,2284
本科,10000人以上,564
本科,20-99人,1843
本科,500-999人,1184
硕士,0-20人,16
硕士,100-499人,77
硕士,1000-9999人,55
硕士,10000人以上,8
硕士,20-99人,73
硕士,500-999人,14
高中,0-20人,48
高中,100-499人,23
高中,1000-9999人,14
高中,10000人以上,2
高中,20-99人,28
高中,500-999人,5
